MJD,Flux Density [Jy],Uncertainty [Jy]
59852.5771,2.877435825732481,0.05204455942348929
59852.5733,3.7050509307004376,0.06655933416744064
59819.826,0.2646719436347044,0.007240220111016826
59819.8227,0.20286991218503464,0.005599853930874393
59798.862,0.4158597912041024,0.0156206623833815
59798.8586,0.7785310705980557,0.0213825478788916
59784.9735,0.7749939835152039,0.026498203511565288
59784.9701,2.050129728631506,0.07022101994718555
59756.031,0.9225677551841378,0.029948749387707196
59756.0276,0.2593289783056232,0.008506670791879833
59699.8596,1.125593042017225,0.015763763486576154
59699.8545,0.5043732543024921,0.00710966113874234
59695.8617,0.0013584600399671617,5.9844893098571746e-05
59695.8582,8.169903275779955,0.37934031812815316
59662.0983,1.9337028099973437,0.053444614209393615
59662.0936,1.548154823811897,0.0429330562218555
59604.1,0.5716666666666665,0.017000000000000126
59604.0966,0.5600666666666668,0.016700000000000048
59569.2345,7.321207543003192,0.15990461231262731
59569.2308,0.49563463713012373,0.010802637520918978
59557.2299,5.807150806782804,0.07732013594396303
59557.2263,2.5828420700933763,0.03483177004919602
59541.212,130.83671217524184,2.378078279751861
59524.3133,1.4568838227671657,0.01922267373063069
59524.3097,3.2201671906144655,0.04356188021333818
59511.5931,6.200427622734302,0.08885791682833588
59511.5924,3.332450173198658,0.0515308970608066
59511.5888,0.7394,0.011600000000000055
59476.4863,0.7791680209120863,0.015227437626487372
59476.4828,1.3076741117364035,0.02526050813824443
59460.7548,0.16088776547711306,0.004412110551079623
59460.7508,1.4324213557475507,0.0410339745182593
59446.9112,4.212224695286606,0.08682571854718546
59423.8499,6.271391539604054,0.20117150916852733
59423.8465,2.1169586434121093,0.06817252422519404
59402.0267,1.4791671764323475,0.0375080774746932
59402.0232,1.2063648238209386,0.030604413831601063
59390.0104,0.9022158834894906,0.018694471739409857
59390.0069,0.8031300240417345,0.01673511052680332
59354.9214,2.0947976510579025,0.06723227902942464
59354.9178,1.978984133249522,0.06346261339969916
59332.099,2.9314697533252416,0.015918004766675153
59332.0956,2.821485985327403,0.015314041179417703
59313.2057,1.8036734931886604,0.023804201119985047
59313.2024,2.54091280039873,0.03348978981919881
59312.9733,6.2478786991705935,0.08386945932006107
59312.9699,12.240694679303802,0.16420958589415946
59297.0045,1.951337475290729,0.04523535317292726
59297.001,1.5666043915569885,0.036370233083034664
59266.2567,2.1771661590646003,0.1356388488149034
59266.2534,1.8034388226556386,0.11246955041088036
59250.1989,0.18723927551045072,0.0022183501883844547
59250.1954,0.6888088011342126,0.008445105012955256
59217.2235,0.3684535712254498,0.004936048814469907
59217.2199,1.736650771720962,0.023750255384634045
59202.4926,0.7525,0.008100000000000107
59202.4893,0.7106061119278881,0.009757324483375296
59180.6099,1.7560917450301583,0.011381611044921636
59179.2346,1.2556052860422986,0.05160108564635668
59179.2313,2.2104356467222623,0.09117094802644754
59166.2847,2.3439748124973225,0.06899317859123011
59166.2814,2.5716850723179157,0.07567949566749066
59141.265,3.6365538898292766,0.18228781639193148
59141.2616,7.0509264481071945,0.3536259723077748
59113.8243,222.8525970847784,9.456943802251686
59113.8209,220.43232518821276,9.380773216134543
