MJD,Flux Density [Jy],Uncertainty [Jy]
59872.3704,0.17905630051771662,0.0062666400227308905
59819.5445,0.29838971195339764,0.008122485647810262
59819.5407,0.5589730896494081,0.013420201198246495
59784.7334,1.3077546849133246,0.04672874379120029
59784.7298,0.42623564330436214,0.016231803163850533
59769.6778,0.43379999999999996,0.015800000000000092
59746.4943,0.0987541746699183,0.004798579866581762
59746.4905,0.37811466078890715,0.021029857481687786
59718.0647,0.2983882273193392,0.0035253919464035
59718.0621,1.0008807926490628,0.01578080104429569
59695.8037,0.015108505400696153,0.0008045813381856934
59678.9707,0.42110113204141975,0.009505873774736828
59678.9673,0.9494968180221582,0.021570230009587577
59623.0264,0.436,0.01590000000000008
59623.0262,0.404256811870771,0.006665182909650347
59603.9096,0.008437965212669297,0.00018384227175046938
59586.0461,33.58503824833425,0.31410348675427
59569.3986,131.2688570886731,3.076118729475496
59557.205,0.13324024444964924,0.001970312132679536
59557.2013,0.2872347344409068,0.004249170103684918
59547.2926,0.4437,0.004400000000000126
59547.2924,0.4242999999999999,0.005400000000000127
59524.1737,0.40647844672290107,0.005756916287975478
59524.1701,0.2454104662704126,0.003079252441358149
59524.1699,0.4701,0.009600000000000108
59511.4869,0.2402303737139791,0.003470415033592217
59511.4862,0.005029261944198256,8.406136154436201e-05
59511.4834,0.24369861926563913,0.0035311092586756965
59511.4826,0.8163799657233075,0.01336284389539577
59476.6054,0.5428030491208001,0.0122850251412574
59476.602,0.45845235050333516,0.009845331024955217
59460.5363,0.3814671662362343,0.011927526100713237
59460.5329,0.5280908728248278,0.016167999381773934
59446.7022,0.08434802141919022,0.0019451618887788846
59446.6987,0.06796829529591564,0.0015343792039911597
59423.7719,0.048175065858183215,0.0016437437456233162
59423.7684,0.6949556444896191,0.02355402175355359
59401.9167,0.2793921275840237,0.007404261761049635
59401.9132,0.5057961489926324,0.013252115878672588
59391.6583,0.3302409650048908,0.006943890145975684
59391.654,2.956069086405528,0.051944492149384125
59389.8182,24.23700751545738,0.5264030007662228
59331.8492,0.049031873864424494,0.0003888641695980813
59312.8404,0.03353245248041375,0.000494037536750043
59312.837,0.0018606851629691043,2.7847476175411282e-05
59297.1267,0.225063788418002,0.0053575559866599065
59297.1232,0.30857006019675526,0.007395259762187967
59279.9313,0.018417537984795916,0.00016455234245886866
59279.9278,0.19738689375817603,0.0015585325203571199
59266.0228,0.14751186787537088,0.009683276489545728
59249.8949,2.491159893773521,0.03278075652459078
59249.8913,4.649660444514792,0.0629796774805067
59217.1015,3.3205592446865144,0.04820155727991704
59202.1848,0.5088463802820906,0.007006158995474743
59202.1806,0.12179248805146536,0.0017375080952081734
59181.1828,1.575475545430045,0.012379076148531176
59181.179,0.5640193347599953,0.004611515888525375
59166.2155,0.5501799625308552,0.016613616592163316
59166.2121,0.3608035546221362,0.01452998041171627
59146.3462,0.42290058744858816,0.011080245576660375
59141.1513,0.05200023469698996,0.0026233282521783002
59113.671,0.5875855500116942,0.02678483884140026
59086.7281,1870.9391278900869,42.93580792624857
