MJD,Flux Density [Jy],Uncertainty [Jy]
59852.5889,84.81602408470782,6.183407432301777
59852.5851,12500.576778520377,1022.4898266752789
59852.5816,0.6508,0.02290000000000003
59819.8376,45579.466198249494,3878.7666991649603
59819.8339,748.9895991299428,49.20292732615292
59819.8303,251.781571786975,17.421107523652154
59798.8734,534.7816899000497,24.99634674300387
59798.8696,0.08712941458603796,0.004613331140108964
59798.8662,0.5133,0.021600000000000064
59784.985,0.5766148684403315,0.033668374570391624
59784.9811,0.01139577488577643,0.000711824319209008
59756.0384,0.6676,0.05360000000000009
59699.8717,0.497,0.019600000000000006
59699.8679,0.5298246252987837,0.022079684833724467
59699.8636,44.03821917589496,1.6542676956645508
59695.8661,5.701450321576778,0.294889645197407
59662.1094,31.894698152366736,1.2763319899327712
59662.1059,0.008447919857081343,0.0003453917098804934
59662.1024,0.7143,0.033500000000000085
59604.1099,0.8027000000000001,0.05600000000000016
59604.1072,0.003481856863989644,0.00023882331897104574
59604.1065,0.0001464763529276651,7.1081358964787764e-06
59604.1039,14.403303177028645,0.9984407727048072
59604.1031,0.7203000000000002,0.03750000000000009
59586.2025,0.639,0.07499999999999996
59569.2453,3.4848524613501703e-06,1.6505518277973466e-07
59569.2417,2.2937791342459373,0.11386404588242938
59569.2381,0.7069,0.03070000000000006
59557.2399,0.6766158774138546,0.019449028584579642
59557.2364,0.8818000000000001,0.01570000000000027
59557.233,603187.4888995934,11036.618580720038
59541.2223,725.6834977840894,33.96584978940962
59541.2152,32317.980534214144,1469.9565145842462
59524.3233,0.5214557974390214,0.017066357811883703
59524.3198,0.8278000000000001,0.03960000000000008
59511.6038,0.7176000000000001,0.02090000000000025
59511.6002,0.4711804556503468,0.01844250015202281
59511.5966,19.463676157418757,0.7706937728141199
59476.4987,502.3760612922424,20.90326300211649
59476.4952,1.0579,0.04200000000000026
59476.4913,0.9886,0.0394000000000001
59460.7656,2.358942847736908,0.2692989404558226
59460.762,21.834504788277172,2.2146263995228423
59446.9222,236.3309489139761,16.61882606341311
59446.9185,13.600739016495965,0.5830132935003682
59423.8605,47.97357953022632,1.5509444774598506
59423.857,22.52894401574456,1.4022995117153592
59423.8537,17.768730378549982,1.1102324537691288
59402.0377,140.05601513560097,13.496754631446649
59402.0341,146.7705348164577,7.806355942415195
59402.0306,19221.053421239216,1018.8632645670405
59390.0213,4.318405745887673,0.21072249144186284
59390.0177,20.286760878152684,1.1570202923719606
59390.0143,0.6096000000000001,0.03590000000000004
59354.9325,1.6069700557063886,0.08585322528695993
59354.9289,85.81096284767214,5.895385299314256
59354.9255,1.3989536319734284,0.09572802558443438
59332.1071,0.6893222729038894,0.015706402486045157
59332.1035,429.3557710578057,9.906712947164692
59297.0153,0.039370126284007205,0.0013444553752783306
59297.0118,16.70826441523049,0.3084208900456247
59297.0083,9.08860218311745,0.199856512069708
59266.2686,20.308693265485132,1.2703668517377515
59266.2652,1.2861004225694725,0.06798569904093998
59266.2611,2.4477944686235724,0.1257152381524631
59250.2065,3.0020884381382107,0.4269297682335784
59250.2031,0.5332999999999999,0.059000000000000274
59217.2343,10.034244593849284,0.28955905056071707
59217.2277,0.7729,0.03159999999999996
59202.5035,1.2629621484255977,0.08869407661251616
59202.5001,0.3823928669313115,0.015823249668867168
59202.4963,0.6928999999999998,0.017000000000000237
59180.6208,596.4695583777367,19.297164318131536
59180.6173,0.07310412034174986,0.002014897486241285
59180.6138,0.9813,0.030500000000000083
59179.2489,37.62286308233623,1.2830913309722618
59179.2423,166.4813361373361,2.8981745331392688
59179.2383,3.5527089036531976,0.08086083586931547
